"Time Step" "flow-time" "delta-time" "iters-per-timestep" "melting-francion" "outlet-temp" "pcm-temp" "pv-temp" "total-energy" "total-enternal-energy" "total-enthalpy" "total-entholpy-deviasion"
0 0 100 0 0 300.15 300.15 300.15 6114.127 6114.127 6224.699 6224.699
1 100 100 40 0 300.8355 300.8489 302.1563 8289.367 8289.367 8399.939 8399.939
2 200 100 40 0 301.4467 301.6888 303.2385 10903.33 10903.33 11013.9 11013.9
3 300 100 40 0 301.9583 302.5173 304.1245 13481.93 13481.93 13592.5 13592.5
4 400 100 40 0 302.4271 303.3163 304.9163 15968.67 15968.67 16079.24 16079.24
5 500 100 40 0 302.8426 304.0564 305.6159 18272.35 18272.35 18382.92 18382.92
6 600 100 40 0 303.2284 304.7386 306.2462 20395.39 20395.39 20505.97 20505.97
7 700 100 40 0 303.5786 305.3677 306.821 22353.5 22353.5 22464.07 22464.07
8 800 100 40 0.0006987551 303.885 305.9199 307.3096 24201.81 24201.81 24312.38 24312.38
9 900 100 40 0.004820631 304.1321 306.3027 307.6055 26157.36 26157.36 26267.93 26267.93
10 1000 100 40 0.01151824 304.3041 306.5509 307.7835 28171.9 28171.9 28282.47 28282.47
11 1100 100 40 0.01984834 304.4193 306.7072 307.8979 30202.99 30202.99 30313.57 30313.57
12 1200 100 40 0.02911702 304.4989 306.8077 307.9789 32234.5 32234.5 32345.08 32345.08
13 1300 100 40 0.03894101 304.5536 306.8749 308.0409 34265.26 34265.26 34375.84 34375.84
14 1400 100 40 0.04908407 304.5907 306.9223 308.0906 36293.63 36293.63 36404.2 36404.2
15 1500 100 40 0.05937423 304.6188 306.9576 308.1323 38311.41 38311.41 38421.98 38421.98
16 1600 100 40 0.06974295 304.6401 306.9848 308.1676 40318.71 40318.71 40429.29 40429.29
17 1700 100 40 0.08016556 304.6556 307.007 308.1995 42320.66 42320.66 42431.24 42431.24
18 1800 100 40 0.09059534 304.6679 307.0259 308.2281 44313.36 44313.36 44423.94 44423.94
19 1900 100 40 0.1010094 304.6797 307.0425 308.2542 46296.25 46296.25 46406.83 46406.83
20 2000 100 40 0.1114241 304.6909 307.0578 308.2787 48274.78 48274.78 48385.35 48385.35
21 2100 100 10 0.1217991 304.6999 307.0718 308.3011 50242.33 50242.33 50352.9 50352.9
22 2200 100 10 0.1321178 304.7059 307.0854 308.3225 52197.89 52197.89 52308.46 52308.46
23 2300 100 10 0.1424504 304.7159 307.0988 308.3441 54155.75 54155.75 54266.32 54266.32
24 2400 100 10 0.1527685 304.7238 307.1118 308.3647 56109.61 56109.61 56220.18 56220.18
25 2500 100 10 0.1630592 304.7319 307.1243 308.3839 58056.38 58056.38 58166.96 58166.96
26 2600 100 10 0.1733338 304.7403 307.1366 308.4026 60000.12 60000.12 60110.69 60110.69
27 2700 100 10 0.1836073 304.7454 307.1491 308.4214 61943.96 61943.96 62054.53 62054.53
28 2800 100 10 0.1938561 304.7534 307.1615 308.44 63882.84 63882.84 63993.41 63993.41
29 2900 100 10 0.204077 304.7605 307.1737 308.4585 65816.09 65816.09 65926.66 65926.66
30 3000 100 10 0.2142662 304.7654 307.1863 308.4778 67744.89 67744.89 67855.46 67855.46
31 3100 100 10 0.2244366 304.7729 307.1987 308.4962 69669.18 69669.18 69779.75 69779.75
32 3200 100 10 0.2345661 304.7792 307.2109 308.5141 71585.61 71585.61 71696.18 71696.18
33 3300 100 10 0.2446564 304.7849 307.2232 308.5323 73494.88 73494.88 73605.45 73605.45
34 3400 100 10 0.254721 304.7921 307.2358 308.551 75400.18 75400.18 75510.75 75510.75
35 3500 100 10 0.2647418 304.7966 307.2484 308.5697 77297.66 77297.66 77408.24 77408.24
36 3600 100 10 0.2747261 304.8027 307.2612 308.5881 79188.86 79188.86 79299.44 79299.44
37 3700 100 10 0.2846798 304.81 307.2744 308.6072 81075.8 81075.8 81186.38 81186.38
38 3800 100 10 0.2945988 304.8159 307.2874 308.6258 82955.31 82955.31 83065.88 83065.88
39 3900 100 10 0.3044792 304.8238 307.3006 308.6447 84828.65 84828.65 84939.22 84939.22
40 4000 100 10 0.3143269 304.8278 307.314 308.6635 86696.21 86696.21 86806.79 86806.79
41 4100 100 10 0.3241166 304.8347 307.3278 308.6831 88554.58 88554.58 88665.16 88665.16
42 4200 100 10 0.3338762 304.8396 307.3418 308.703 90407.96 90407.96 90518.54 90518.54
43 4300 100 10 0.3435898 304.8475 307.3562 308.7231 92253.77 92253.77 92364.34 92364.34
44 4400 100 10 0.3532589 304.8524 307.3708 308.7433 94092.05 94092.05 94202.63 94202.63
45 4500 100 10 0.3628869 304.8591 307.3854 308.7635 95923.11 95923.11 96033.69 96033.69
46 4600 100 10 0.3724792 304.8656 307.4007 308.7842 97749.19 97749.19 97859.77 97859.77
47 4700 100 10 0.3820298 304.8704 307.416 308.805 99568.02 99568.02 99678.59 99678.59
48 4800 100 10 0.391591 304.8768 307.4324 308.8282 101391.8 101391.8 101502.4 101502.4
49 4900 100 10 0.4011371 304.8848 307.4493 308.8519 103214.6 103214.6 103325.1 103325.1
50 5000 100 10 0.4106685 304.8894 307.4664 308.8755 105035.2 105035.2 105145.8 105145.8
51 5100 100 10 0.420189 304.8991 307.4844 308.8998 106856.7 106856.7 106967.2 106967.2
52 5200 100 10 0.4296654 304.9056 307.503 308.9244 108671.5 108671.5 108782 108782
53 5300 100 10 0.4391719 304.912 307.5225 308.9514 110495.1 110495.1 110605.7 110605.7
54 5400 100 10 0.4486475 304.9204 307.5424 308.9779 112314.2 112314.2 112424.8 112424.8
55 5500 100 10 0.4581316 304.9273 307.5628 309.005 114136.2 114136.2 114246.8 114246.8
56 5600 100 10 0.4676162 304.9352 307.5837 309.0322 115960.1 115960.1 116070.7 116070.7
57 5700 100 10 0.4770467 304.943 307.6055 309.0594 117776.5 117776.5 117887.1 117887.1
58 5800 100 10 0.4864452 304.9518 307.6277 309.0868 119588.3 119588.3 119698.9 119698.9
59 5900 100 10 0.4957943 304.9611 307.6502 309.1137 121392 121392 121502.5 121502.5
60 6000 100 10 0.5051115 304.9685 307.6739 309.1421 123193.3 123193.3 123303.9 123303.9
61 6100 100 10 0.5144028 304.9788 307.6986 309.172 124993.2 124993.2 125103.8 125103.8
62 6200 100 10 0.5236812 304.9874 307.7249 309.2035 126795.4 126795.4 126905.9 126905.9
63 6300 100 10 0.5329368 304.9978 307.7527 309.2362 128598.2 128598.2 128708.8 128708.8
64 6400 100 10 0.5421346 305.0074 307.7804 309.2676 130389.9 130389.9 130500.5 130500.5
65 6500 100 10 0.5512581 305.0161 307.8103 309.3003 132174.9 132174.9 132285.5 132285.5
66 6600 100 10 0.5603253 305.0271 307.8423 309.3348 133955.7 133955.7 134066.3 134066.3
67 6700 100 10 0.5692837 305.0371 307.8758 309.3694 135721.2 135721.2 135831.7 135831.7
68 6800 100 10 0.5781598 305.0469 307.9111 309.4055 137476.9 137476.9 137587.5 137587.5
69 6900 100 10 0.586951 305.058 307.9485 309.4432 139223.4 139223.4 139334 139334
